City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
278,Sakakah,SA,29.9697,40.2064,69.8,16,0,11.5,clear sky
279,Monte Lirio,PA,8.7833,-82.8333,84.2,74,40,3.44,scattered clouds
280,Pangai,TO,-19.8,-174.35,79.05,74,50,13.2,scattered clouds
281,Lorengau,PG,-2.0226,147.2712,81.48,83,94,14.29,overcast clouds
282,Cap Malheureux,MU,-19.9842,57.6142,80.01,79,70,4.0,light rain
283,Maldonado,UY,-34.6667,-54.9167,72.0,78,75,20.71,broken clouds
284,Leningradskiy,RU,69.3833,178.4167,-21.82,99,66,6.62,broken clouds
285,Kasongo-Lunda,CD,-6.4667,16.8167,78.78,84,86,0.4,light rain
286,Borba,BR,-4.3878,-59.5939,83.52,76,96,0.87,overcast clouds
287,Nuuk,GL,64.1835,-51.7216,33.8,93,20,17.27,few clouds
288,Cozumel,MX,20.5083,-86.9458,84.2,74,75,11.5,broken clouds
289,Bauska,LV,56.4075,24.1906,55.4,50,0,9.22,clear sky
290,Jalalabad,AF,34.4265,70.4515,76.12,40,12,5.3,few clouds
291,Erdaojiang,CN,41.7764,126.0319,51.26,52,100,6.26,overcast clouds
292,Vicuna,CL,-30.0319,-70.7081,80.01,12,0,6.08,clear sky
293,Bridgetown,BB,13.1,-59.6167,78.8,69,75,12.66,volcanic ash
294,Talcahuano,CL,-36.7167,-73.1167,60.8,55,0,11.5,clear sky
295,Gazli,UZ,40.1333,63.45,65.57,22,0,17.96,clear sky
296,Aviles,ES,43.5547,-5.9248,54.0,62,75,8.05,broken clouds
297,Shache,CN,38.4167,77.2406,62.58,18,1,7.63,clear sky
298,Haines Junction,CA,60.7522,-137.5108,-20.2,63,96,1.14,overcast clouds
299,Srednekolymsk,RU,67.45,153.6833,-29.15,100,90,2.04,overcast clouds
300,Sahaspur,IN,29.1333,78.6167,84.29,8,0,5.86,clear sky
301,Kismayo,SO,-0.3582,42.5454,84.33,69,100,11.52,overcast clouds
302,Nyzhnya Duvanka,UA,49.5846,38.1743,52.48,52,100,14.99,overcast clouds
303,Bozhou,CN,33.8772,115.7703,55.56,89,100,2.01,overcast clouds
304,Ilhabela,BR,-23.7781,-45.3581,81.99,52,3,4.97,clear sky
305,Boden,SE,65.8252,21.6886,44.6,45,0,11.5,clear sky
306,Koumac,NC,-20.5667,164.2833,76.24,84,100,8.43,overcast clouds
307,Ancud,CL,-41.8697,-73.8203,55.4,100,90,14.97,light rain
308,Turukhansk,RU,65.8167,87.9833,28.87,90,100,7.09,overcast clouds
309,Ochtrup,DE,52.2167,7.1833,46.0,82,100,3.0,overcast clouds
310,Placido De Castro,BR,-10.3353,-67.1856,84.45,62,54,1.66,broken clouds
311,Lasa,IT,46.6166,10.7002,52.0,93,90,8.05,mist
312,Mareeba,AU,-17.0,145.4333,75.2,100,4,2.01,clear sky
313,Ust-Charyshskaya Pristan,RU,52.3934,83.6635,31.21,97,49,7.09,scattered clouds
314,Ust-Tsilma,RU,65.441,52.1498,37.17,71,12,12.26,few clouds
315,Tabas,IR,33.5959,56.9244,86.49,14,69,5.77,broken clouds
316,Kandrian,PG,-6.2167,149.55,76.51,91,100,6.53,light rain
317,Nanortalik,GL,60.1432,-45.2371,38.84,63,1,4.81,clear sky
